Test Epoch: 0, Accuracy: 2.960, Precision: 1.252, Recall: 2.960, F1: 1.079, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 4.570, Precision: 1.940, Recall: 4.570, F1: 1.619, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 5.780, Precision: 2.347, Recall: 5.780, F1: 2.339, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 6.980, Precision: 4.869, Recall: 6.980, F1: 4.226, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 7.760, Precision: 6.147, Recall: 7.760, F1: 4.110, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 7.880, Precision: 5.526, Recall: 7.880, F1: 4.891, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 8.420, Precision: 7.514, Recall: 8.420, F1: 5.505, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 8.240, Precision: 6.643, Recall: 8.240, F1: 5.322, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 8.940, Precision: 7.107, Recall: 8.940, F1: 5.568, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 9.290, Precision: 6.775, Recall: 9.290, F1: 5.762, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 10.520, Precision: 7.679, Recall: 10.520, F1: 6.948, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 9.730, Precision: 6.919, Recall: 9.730, F1: 6.364, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 10.400, Precision: 7.412, Recall: 10.400, F1: 6.931, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 10.240, Precision: 8.403, Recall: 10.240, F1: 7.057, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 14, Accuracy: 11.040, Precision: 10.838, Recall: 11.040, F1: 8.373, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 15, Accuracy: 11.110, Precision: 8.628, Recall: 11.110, F1: 8.011, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 16, Accuracy: 11.700, Precision: 9.508, Recall: 11.700, F1: 8.826, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 17, Accuracy: 11.540, Precision: 9.086, Recall: 11.540, F1: 8.288, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 18, Accuracy: 11.520, Precision: 10.012, Recall: 11.520, F1: 8.692, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
