Test Epoch: 0, Accuracy: 24.000, Precision: 30.092, Recall: 24.000, F1: 18.050, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 28.060, Precision: 38.413, Recall: 28.060, F1: 22.699, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 30.400, Precision: 44.792, Recall: 30.400, F1: 27.579, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 34.930, Precision: 38.104, Recall: 34.930, F1: 32.208, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 32.210, Precision: 36.076, Recall: 32.210, F1: 28.198, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 35.140, Precision: 39.400, Recall: 35.140, F1: 32.313, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 38.090, Precision: 38.739, Recall: 38.090, F1: 37.548, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 37.680, Precision: 38.695, Recall: 37.680, F1: 33.712, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 39.920, Precision: 42.627, Recall: 39.920, F1: 40.063, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 39.550, Precision: 38.854, Recall: 39.550, F1: 36.618, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 42.060, Precision: 42.864, Recall: 42.060, F1: 40.046, L_1: 11206, U_1: 38794, L_2: 16308, U_2: 33692
Test Epoch: 11, Accuracy: 42.640, Precision: 43.569, Recall: 42.640, F1: 41.741, L_1: 17080, U_1: 32920, L_2: 13532, U_2: 36468
Test Epoch: 12, Accuracy: 45.050, Precision: 45.095, Recall: 45.050, F1: 44.506, L_1: 17728, U_1: 32272, L_2: 18440, U_2: 31560
Test Epoch: 13, Accuracy: 45.060, Precision: 45.186, Recall: 45.060, F1: 43.877, L_1: 19774, U_1: 30226, L_2: 19846, U_2: 30154
Test Epoch: 14, Accuracy: 45.960, Precision: 46.345, Recall: 45.960, F1: 43.811, L_1: 20664, U_1: 29336, L_2: 21360, U_2: 28640
Test Epoch: 15, Accuracy: 46.980, Precision: 46.415, Recall: 46.980, F1: 44.619, L_1: 22800, U_1: 27200, L_2: 22880, U_2: 27120
Test Epoch: 16, Accuracy: 46.920, Precision: 48.496, Recall: 46.920, F1: 43.783, L_1: 23120, U_1: 26880, L_2: 23850, U_2: 26150
Test Epoch: 17, Accuracy: 45.740, Precision: 45.496, Recall: 45.740, F1: 40.384, L_1: 23917, U_1: 26083, L_2: 23291, U_2: 26709
Test Epoch: 18, Accuracy: 44.100, Precision: 48.759, Recall: 44.100, F1: 38.285, L_1: 24661, U_1: 25339, L_2: 23709, U_2: 26291
Test Epoch: 19, Accuracy: 43.930, Precision: 40.989, Recall: 43.930, F1: 37.212, L_1: 25461, U_1: 24539, L_2: 23895, U_2: 26105
Test Epoch: 20, Accuracy: 43.800, Precision: 44.632, Recall: 43.800, F1: 36.224, L_1: 25504, U_1: 24496, L_2: 24937, U_2: 25063
