Test Epoch: 0, Accuracy: 56.700, Precision: 59.150, Recall: 56.700, F1: 56.171, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 68.050, Precision: 69.371, Recall: 68.050, F1: 67.746, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 73.820, Precision: 75.391, Recall: 73.820, F1: 73.482, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 78.110, Precision: 78.611, Recall: 78.110, F1: 78.078, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 80.890, Precision: 81.033, Recall: 80.890, F1: 80.493, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 82.260, Precision: 83.282, Recall: 82.260, F1: 82.377, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 83.380, Precision: 84.094, Recall: 83.380, F1: 83.371, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 84.220, Precision: 85.070, Recall: 84.220, F1: 84.294, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 84.860, Precision: 85.590, Recall: 84.860, F1: 84.946, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 84.680, Precision: 85.111, Recall: 84.680, F1: 84.658, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 86.680, Precision: 86.598, Recall: 86.680, F1: 86.588, L_1: 34081, U_1: 15919, L_2: 35930, U_2: 14070
Test Epoch: 11, Accuracy: 85.600, Precision: 85.738, Recall: 85.600, F1: 85.282, L_1: 35956, U_1: 14044, L_2: 35969, U_2: 14031
Test Epoch: 12, Accuracy: 85.940, Precision: 86.191, Recall: 85.940, F1: 85.869, L_1: 35317, U_1: 14683, L_2: 35140, U_2: 14860
Test Epoch: 13, Accuracy: 86.360, Precision: 86.491, Recall: 86.360, F1: 86.186, L_1: 35422, U_1: 14578, L_2: 36043, U_2: 13957
Test Epoch: 14, Accuracy: 86.140, Precision: 86.392, Recall: 86.140, F1: 85.958, L_1: 35997, U_1: 14003, L_2: 35953, U_2: 14047
Test Epoch: 15, Accuracy: 85.950, Precision: 86.196, Recall: 85.950, F1: 85.725, L_1: 35812, U_1: 14188, L_2: 35613, U_2: 14387
Test Epoch: 16, Accuracy: 86.490, Precision: 86.539, Recall: 86.490, F1: 86.294, L_1: 35982, U_1: 14018, L_2: 35614, U_2: 14386
Test Epoch: 17, Accuracy: 86.420, Precision: 86.591, Recall: 86.420, F1: 86.206, L_1: 35600, U_1: 14400, L_2: 35671, U_2: 14329
Test Epoch: 18, Accuracy: 87.000, Precision: 87.036, Recall: 87.000, F1: 86.795, L_1: 35812, U_1: 14188, L_2: 35580, U_2: 14420
Test Epoch: 19, Accuracy: 86.860, Precision: 87.006, Recall: 86.860, F1: 86.597, L_1: 35756, U_1: 14244, L_2: 35612, U_2: 14388
Test Epoch: 20, Accuracy: 87.180, Precision: 87.432, Recall: 87.180, F1: 86.946, L_1: 35748, U_1: 14252, L_2: 35681, U_2: 14319
