Test Epoch: 0, Accuracy: 7.310, Precision: 4.861, Recall: 7.310, F1: 3.598, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 8.970, Precision: 6.204, Recall: 8.970, F1: 5.271, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 10.960, Precision: 11.873, Recall: 10.960, F1: 7.067, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 12.090, Precision: 9.773, Recall: 12.090, F1: 7.952, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 13.700, Precision: 11.773, Recall: 13.700, F1: 9.678, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 14.120, Precision: 12.981, Recall: 14.120, F1: 10.278, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 14.390, Precision: 13.098, Recall: 14.390, F1: 10.761, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 16.580, Precision: 16.499, Recall: 16.580, F1: 13.469, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 17.740, Precision: 17.370, Recall: 17.740, F1: 14.258, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 18.050, Precision: 16.542, Recall: 18.050, F1: 14.517, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 18.990, Precision: 18.832, Recall: 18.990, F1: 14.867, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 20.770, Precision: 19.486, Recall: 20.770, F1: 17.336, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 20.260, Precision: 18.439, Recall: 20.260, F1: 16.635, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 21.860, Precision: 19.946, Recall: 21.860, F1: 18.284, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 14, Accuracy: 22.650, Precision: 21.707, Recall: 22.650, F1: 18.938, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 15, Accuracy: 22.710, Precision: 21.550, Recall: 22.710, F1: 19.303, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 16, Accuracy: 23.060, Precision: 24.154, Recall: 23.060, F1: 20.537, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 17, Accuracy: 23.770, Precision: 23.803, Recall: 23.770, F1: 20.869, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 18, Accuracy: 24.920, Precision: 25.025, Recall: 24.920, F1: 22.292, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 19, Accuracy: 24.720, Precision: 24.941, Recall: 24.720, F1: 21.681, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 20, Accuracy: 25.870, Precision: 26.371, Recall: 25.870, F1: 23.483, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 21, Accuracy: 25.530, Precision: 26.187, Recall: 25.530, F1: 23.340, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 22, Accuracy: 27.480, Precision: 26.323, Recall: 27.480, F1: 24.682, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 23, Accuracy: 27.870, Precision: 28.769, Recall: 27.870, F1: 25.563, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 24, Accuracy: 28.020, Precision: 28.620, Recall: 28.020, F1: 25.967, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 25, Accuracy: 27.780, Precision: 29.370, Recall: 27.780, F1: 25.469, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 26, Accuracy: 27.980, Precision: 28.173, Recall: 27.980, F1: 25.847, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 27, Accuracy: 28.590, Precision: 28.887, Recall: 28.590, F1: 26.892, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 28, Accuracy: 27.880, Precision: 29.090, Recall: 27.880, F1: 26.263, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 29, Accuracy: 28.430, Precision: 29.687, Recall: 28.430, F1: 26.843, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 30, Accuracy: 32.270, Precision: 30.927, Recall: 32.270, F1: 28.811, L_1: 8525, U_1: 41475, L_2: 7791, U_2: 42209
Test Epoch: 31, Accuracy: 32.960, Precision: 31.722, Recall: 32.960, F1: 29.641, L_1: 8256, U_1: 41744, L_2: 7559, U_2: 42441
Test Epoch: 32, Accuracy: 34.770, Precision: 32.885, Recall: 34.770, F1: 31.580, L_1: 9408, U_1: 40592, L_2: 9354, U_2: 40646
Test Epoch: 33, Accuracy: 36.150, Precision: 34.641, Recall: 36.150, F1: 33.780, L_1: 9956, U_1: 40044, L_2: 9950, U_2: 40050
