Test Epoch: 0, Accuracy: 6.520, Precision: 3.114, Recall: 6.520, F1: 2.753, L_1: 29450, U_1: 20550, L_2: 26787, U_2: 23213
Test Epoch: 1, Accuracy: 8.730, Precision: 5.169, Recall: 8.730, F1: 4.685, L_1: 22715, U_1: 27285, L_2: 24169, U_2: 25831
Test Epoch: 2, Accuracy: 11.940, Precision: 7.171, Recall: 11.940, F1: 6.887, L_1: 15651, U_1: 34349, L_2: 15731, U_2: 34269
Test Epoch: 3, Accuracy: 13.770, Precision: 12.988, Recall: 13.770, F1: 9.027, L_1: 13888, U_1: 36112, L_2: 14653, U_2: 35347
Test Epoch: 4, Accuracy: 17.280, Precision: 13.533, Recall: 17.280, F1: 12.228, L_1: 14572, U_1: 35428, L_2: 14100, U_2: 35900
Test Epoch: 5, Accuracy: 19.670, Precision: 16.873, Recall: 19.670, F1: 14.648, L_1: 16058, U_1: 33942, L_2: 15641, U_2: 34359
Test Epoch: 6, Accuracy: 22.250, Precision: 19.741, Recall: 22.250, F1: 17.281, L_1: 17520, U_1: 32480, L_2: 16731, U_2: 33269
Test Epoch: 7, Accuracy: 24.760, Precision: 22.096, Recall: 24.760, F1: 20.726, L_1: 18782, U_1: 31218, L_2: 17740, U_2: 32260
Test Epoch: 8, Accuracy: 28.500, Precision: 26.576, Recall: 28.500, F1: 24.100, L_1: 18624, U_1: 31376, L_2: 19568, U_2: 30432
Test Epoch: 9, Accuracy: 30.660, Precision: 28.233, Recall: 30.660, F1: 26.314, L_1: 19743, U_1: 30257, L_2: 19534, U_2: 30466
Test Epoch: 10, Accuracy: 32.880, Precision: 30.911, Recall: 32.880, F1: 28.816, L_1: 19946, U_1: 30054, L_2: 19919, U_2: 30081
Test Epoch: 11, Accuracy: 35.470, Precision: 33.318, Recall: 35.470, F1: 31.711, L_1: 20234, U_1: 29766, L_2: 20637, U_2: 29363
Test Epoch: 12, Accuracy: 38.180, Precision: 35.146, Recall: 38.180, F1: 34.031, L_1: 20423, U_1: 29577, L_2: 20380, U_2: 29620
Test Epoch: 13, Accuracy: 39.960, Precision: 36.763, Recall: 39.960, F1: 36.047, L_1: 20319, U_1: 29681, L_2: 20272, U_2: 29728
Test Epoch: 14, Accuracy: 41.700, Precision: 38.780, Recall: 41.700, F1: 37.793, L_1: 20215, U_1: 29785, L_2: 20315, U_2: 29685
Test Epoch: 15, Accuracy: 42.680, Precision: 39.539, Recall: 42.680, F1: 38.559, L_1: 20336, U_1: 29664, L_2: 20256, U_2: 29744
Test Epoch: 16, Accuracy: 44.090, Precision: 41.184, Recall: 44.090, F1: 40.434, L_1: 20315, U_1: 29685, L_2: 20374, U_2: 29626
Test Epoch: 17, Accuracy: 45.580, Precision: 42.047, Recall: 45.580, F1: 41.927, L_1: 20261, U_1: 29739, L_2: 20690, U_2: 29310
Test Epoch: 18, Accuracy: 45.660, Precision: 42.377, Recall: 45.660, F1: 42.007, L_1: 20610, U_1: 29390, L_2: 20350, U_2: 29650
Test Epoch: 19, Accuracy: 47.230, Precision: 42.912, Recall: 47.230, F1: 43.144, L_1: 20448, U_1: 29552, L_2: 20183, U_2: 29817
Test Epoch: 20, Accuracy: 48.240, Precision: 44.006, Recall: 48.240, F1: 44.163, L_1: 20235, U_1: 29765, L_2: 20398, U_2: 29602
