Test Epoch: 0, Accuracy: 46.820, Precision: 47.105, Recall: 46.820, F1: 43.637, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 56.610, Precision: 58.563, Recall: 56.610, F1: 56.039, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 62.640, Precision: 63.706, Recall: 62.640, F1: 61.946, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 67.080, Precision: 67.135, Recall: 67.080, F1: 66.404, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 68.350, Precision: 70.920, Recall: 68.350, F1: 68.530, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 71.540, Precision: 73.833, Recall: 71.540, F1: 71.562, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 74.350, Precision: 75.357, Recall: 74.350, F1: 74.209, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 75.090, Precision: 76.943, Recall: 75.090, F1: 75.045, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 72.920, Precision: 76.457, Recall: 72.920, F1: 72.943, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 79.210, Precision: 79.648, Recall: 79.210, F1: 79.327, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 80.360, Precision: 80.272, Recall: 80.360, F1: 80.109, L_1: 25036, U_1: 24964, L_2: 25214, U_2: 24786
Test Epoch: 11, Accuracy: 81.310, Precision: 81.270, Recall: 81.310, F1: 81.095, L_1: 25905, U_1: 24095, L_2: 25820, U_2: 24180
Test Epoch: 12, Accuracy: 81.540, Precision: 81.550, Recall: 81.540, F1: 81.369, L_1: 25378, U_1: 24622, L_2: 25175, U_2: 24825
Test Epoch: 13, Accuracy: 81.600, Precision: 81.814, Recall: 81.600, F1: 81.338, L_1: 25375, U_1: 24625, L_2: 24865, U_2: 25135
Test Epoch: 14, Accuracy: 81.330, Precision: 81.958, Recall: 81.330, F1: 80.967, L_1: 24734, U_1: 25266, L_2: 24797, U_2: 25203
Test Epoch: 15, Accuracy: 81.730, Precision: 82.490, Recall: 81.730, F1: 81.269, L_1: 24392, U_1: 25608, L_2: 24430, U_2: 25570
Test Epoch: 16, Accuracy: 82.030, Precision: 82.684, Recall: 82.030, F1: 81.433, L_1: 24148, U_1: 25852, L_2: 24484, U_2: 25516
Test Epoch: 17, Accuracy: 81.820, Precision: 81.992, Recall: 81.820, F1: 81.485, L_1: 24066, U_1: 25934, L_2: 23410, U_2: 26590
Test Epoch: 18, Accuracy: 83.240, Precision: 83.347, Recall: 83.240, F1: 83.015, L_1: 24302, U_1: 25698, L_2: 23609, U_2: 26391
Test Epoch: 19, Accuracy: 83.680, Precision: 83.693, Recall: 83.680, F1: 83.418, L_1: 24128, U_1: 25872, L_2: 24380, U_2: 25620
Test Epoch: 20, Accuracy: 83.940, Precision: 84.133, Recall: 83.940, F1: 83.685, L_1: 24077, U_1: 25923, L_2: 24087, U_2: 25913
Test Epoch: 21, Accuracy: 83.840, Precision: 84.333, Recall: 83.840, F1: 83.605, L_1: 24048, U_1: 25952, L_2: 24190, U_2: 25810
Test Epoch: 22, Accuracy: 84.280, Precision: 84.494, Recall: 84.280, F1: 84.049, L_1: 24270, U_1: 25730, L_2: 24209, U_2: 25791
