Test Epoch: 0, Accuracy: 34.140, Precision: 35.409, Recall: 34.140, F1: 30.116, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 35.260, Precision: 38.580, Recall: 35.260, F1: 33.502, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 38.160, Precision: 41.295, Recall: 38.160, F1: 36.248, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 38.970, Precision: 44.638, Recall: 38.970, F1: 35.181, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 45.760, Precision: 47.753, Recall: 45.760, F1: 43.514, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 47.680, Precision: 49.307, Recall: 47.680, F1: 45.271, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 51.140, Precision: 50.479, Recall: 51.140, F1: 49.245, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 49.470, Precision: 51.913, Recall: 49.470, F1: 46.938, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 52.330, Precision: 51.213, Recall: 52.330, F1: 49.394, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 53.240, Precision: 56.099, Recall: 53.240, F1: 52.492, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 56.830, Precision: 57.900, Recall: 56.830, F1: 55.659, L_1: 11661, U_1: 38339, L_2: 12924, U_2: 37076
Test Epoch: 11, Accuracy: 58.940, Precision: 59.620, Recall: 58.940, F1: 57.831, L_1: 19149, U_1: 30851, L_2: 18554, U_2: 31446
Test Epoch: 12, Accuracy: 60.200, Precision: 60.530, Recall: 60.200, F1: 59.373, L_1: 20778, U_1: 29222, L_2: 20603, U_2: 29397
Test Epoch: 13, Accuracy: 61.810, Precision: 63.690, Recall: 61.810, F1: 61.184, L_1: 21255, U_1: 28745, L_2: 21965, U_2: 28035
Test Epoch: 14, Accuracy: 63.340, Precision: 63.603, Recall: 63.340, F1: 62.782, L_1: 22358, U_1: 27642, L_2: 22140, U_2: 27860
Test Epoch: 15, Accuracy: 65.190, Precision: 65.235, Recall: 65.190, F1: 64.483, L_1: 21660, U_1: 28340, L_2: 21293, U_2: 28707
Test Epoch: 16, Accuracy: 66.050, Precision: 66.160, Recall: 66.050, F1: 65.446, L_1: 21363, U_1: 28637, L_2: 21649, U_2: 28351
Test Epoch: 17, Accuracy: 67.000, Precision: 68.469, Recall: 67.000, F1: 66.206, L_1: 21679, U_1: 28321, L_2: 21596, U_2: 28404
Test Epoch: 18, Accuracy: 67.500, Precision: 68.012, Recall: 67.500, F1: 66.045, L_1: 21233, U_1: 28767, L_2: 21304, U_2: 28696
Test Epoch: 19, Accuracy: 69.250, Precision: 69.732, Recall: 69.250, F1: 68.546, L_1: 20864, U_1: 29136, L_2: 21643, U_2: 28357
Test Epoch: 20, Accuracy: 70.670, Precision: 71.306, Recall: 70.670, F1: 69.963, L_1: 21522, U_1: 28478, L_2: 20303, U_2: 29697
Test Epoch: 21, Accuracy: 69.920, Precision: 70.426, Recall: 69.920, F1: 69.164, L_1: 20279, U_1: 29721, L_2: 20364, U_2: 29636
