Test Epoch: 40, Accuracy: 64.500, Precision: 64.748, Recall: 64.500, F1: 63.614, L_1: 22586, U_1: 27414, L_2: 22555, U_2: 27445
Test Epoch: 41, Accuracy: 64.790, Precision: 64.728, Recall: 64.790, F1: 63.791, L_1: 22492, U_1: 27508, L_2: 22561, U_2: 27439
Test Epoch: 42, Accuracy: 64.640, Precision: 64.816, Recall: 64.640, F1: 63.762, L_1: 22298, U_1: 27702, L_2: 22119, U_2: 27881
Test Epoch: 43, Accuracy: 65.220, Precision: 65.161, Recall: 65.220, F1: 64.418, L_1: 22073, U_1: 27927, L_2: 22317, U_2: 27683
Test Epoch: 44, Accuracy: 65.250, Precision: 65.373, Recall: 65.250, F1: 64.473, L_1: 22194, U_1: 27806, L_2: 22290, U_2: 27710
Test Epoch: 45, Accuracy: 65.540, Precision: 66.000, Recall: 65.540, F1: 64.913, L_1: 22253, U_1: 27747, L_2: 22231, U_2: 27769
Test Epoch: 46, Accuracy: 65.440, Precision: 65.807, Recall: 65.440, F1: 64.728, L_1: 22232, U_1: 27768, L_2: 22160, U_2: 27840
Test Epoch: 47, Accuracy: 65.610, Precision: 65.791, Recall: 65.610, F1: 64.818, L_1: 22261, U_1: 27739, L_2: 22103, U_2: 27897
Test Epoch: 48, Accuracy: 66.030, Precision: 65.993, Recall: 66.030, F1: 65.318, L_1: 22074, U_1: 27926, L_2: 22184, U_2: 27816
Test Epoch: 49, Accuracy: 66.190, Precision: 66.378, Recall: 66.190, F1: 65.511, L_1: 21928, U_1: 28072, L_2: 22076, U_2: 27924
Test Epoch: 50, Accuracy: 66.340, Precision: 66.779, Recall: 66.340, F1: 65.653, L_1: 21958, U_1: 28042, L_2: 22004, U_2: 27996
