Test Epoch: 0, Accuracy: 13.720, Precision: 12.688, Recall: 13.720, F1: 9.918, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 19.460, Precision: 20.467, Recall: 19.460, F1: 16.450, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 23.830, Precision: 26.599, Recall: 23.830, F1: 20.615, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 27.250, Precision: 29.111, Recall: 27.250, F1: 24.107, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 30.980, Precision: 32.104, Recall: 30.980, F1: 28.588, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 34.190, Precision: 38.241, Recall: 34.190, F1: 32.002, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 38.500, Precision: 40.978, Recall: 38.500, F1: 36.518, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 41.170, Precision: 42.032, Recall: 41.170, F1: 39.394, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 43.710, Precision: 45.384, Recall: 43.710, F1: 42.022, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 45.960, Precision: 47.826, Recall: 45.960, F1: 44.731, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 46.560, Precision: 47.705, Recall: 46.560, F1: 45.159, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 47.200, Precision: 49.169, Recall: 47.200, F1: 45.905, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 49.670, Precision: 52.711, Recall: 49.670, F1: 48.977, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 51.050, Precision: 52.104, Recall: 51.050, F1: 50.059, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 14, Accuracy: 51.550, Precision: 54.374, Recall: 51.550, F1: 51.309, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 15, Accuracy: 51.060, Precision: 53.448, Recall: 51.060, F1: 50.396, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 16, Accuracy: 53.070, Precision: 54.760, Recall: 53.070, F1: 52.578, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 17, Accuracy: 53.690, Precision: 56.560, Recall: 53.690, F1: 53.438, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 18, Accuracy: 53.320, Precision: 56.204, Recall: 53.320, F1: 52.801, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 19, Accuracy: 54.250, Precision: 58.193, Recall: 54.250, F1: 54.340, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 20, Accuracy: 54.090, Precision: 56.170, Recall: 54.090, F1: 53.457, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 21, Accuracy: 53.490, Precision: 55.851, Recall: 53.490, F1: 52.537, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 22, Accuracy: 53.590, Precision: 56.425, Recall: 53.590, F1: 52.929, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 23, Accuracy: 55.380, Precision: 56.640, Recall: 55.380, F1: 54.661, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 24, Accuracy: 54.510, Precision: 56.283, Recall: 54.510, F1: 54.037, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 25, Accuracy: 54.300, Precision: 56.424, Recall: 54.300, F1: 53.734, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 26, Accuracy: 54.300, Precision: 56.024, Recall: 54.300, F1: 53.793, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 27, Accuracy: 53.530, Precision: 55.320, Recall: 53.530, F1: 52.708, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 28, Accuracy: 52.330, Precision: 55.190, Recall: 52.330, F1: 51.997, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 29, Accuracy: 52.430, Precision: 54.984, Recall: 52.430, F1: 52.047, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 30, Accuracy: 59.510, Precision: 59.389, Recall: 59.510, F1: 58.640, L_1: 24101, U_1: 25899, L_2: 24268, U_2: 25732
Test Epoch: 31, Accuracy: 60.830, Precision: 60.698, Recall: 60.830, F1: 60.039, L_1: 23263, U_1: 26737, L_2: 22875, U_2: 27125
