Test Epoch: 0, Accuracy: 13.210, Precision: 12.062, Recall: 13.210, F1: 9.521, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 20.010, Precision: 20.712, Recall: 20.010, F1: 16.695, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 23.850, Precision: 24.930, Recall: 23.850, F1: 20.659, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 27.880, Precision: 27.653, Recall: 27.880, F1: 24.174, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 32.400, Precision: 33.625, Recall: 32.400, F1: 29.855, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 33.870, Precision: 37.242, Recall: 33.870, F1: 31.915, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 38.610, Precision: 41.136, Recall: 38.610, F1: 36.585, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 41.440, Precision: 42.024, Recall: 41.440, F1: 39.486, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 42.870, Precision: 45.097, Recall: 42.870, F1: 41.222, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 46.400, Precision: 48.003, Recall: 46.400, F1: 45.181, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 47.000, Precision: 47.995, Recall: 47.000, F1: 45.594, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 46.420, Precision: 48.333, Recall: 46.420, F1: 45.040, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 49.100, Precision: 52.100, Recall: 49.100, F1: 48.381, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 50.880, Precision: 52.190, Recall: 50.880, F1: 49.767, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 14, Accuracy: 51.180, Precision: 54.344, Recall: 51.180, F1: 51.134, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 15, Accuracy: 50.400, Precision: 53.084, Recall: 50.400, F1: 49.351, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 16, Accuracy: 51.990, Precision: 54.006, Recall: 51.990, F1: 51.292, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 17, Accuracy: 52.170, Precision: 55.791, Recall: 52.170, F1: 52.101, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 18, Accuracy: 53.050, Precision: 55.777, Recall: 53.050, F1: 52.482, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 19, Accuracy: 53.680, Precision: 56.553, Recall: 53.680, F1: 53.488, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 20, Accuracy: 57.030, Precision: 56.998, Recall: 57.030, F1: 56.135, L_1: 20988, U_1: 29012, L_2: 20985, U_2: 29015
Test Epoch: 21, Accuracy: 58.150, Precision: 58.140, Recall: 58.150, F1: 57.251, L_1: 22602, U_1: 27398, L_2: 22692, U_2: 27308
Test Epoch: 22, Accuracy: 58.570, Precision: 58.859, Recall: 58.570, F1: 57.771, L_1: 22947, U_1: 27053, L_2: 22952, U_2: 27048
Test Epoch: 23, Accuracy: 59.400, Precision: 59.401, Recall: 59.400, F1: 58.519, L_1: 23006, U_1: 26994, L_2: 22872, U_2: 27128
Test Epoch: 24, Accuracy: 59.780, Precision: 59.960, Recall: 59.780, F1: 58.776, L_1: 22881, U_1: 27119, L_2: 23049, U_2: 26951
Test Epoch: 25, Accuracy: 59.000, Precision: 59.916, Recall: 59.000, F1: 58.265, L_1: 22785, U_1: 27215, L_2: 22769, U_2: 27231
Test Epoch: 26, Accuracy: 60.230, Precision: 60.386, Recall: 60.230, F1: 59.197, L_1: 22917, U_1: 27083, L_2: 22588, U_2: 27412
Test Epoch: 27, Accuracy: 60.550, Precision: 60.873, Recall: 60.550, F1: 59.644, L_1: 22934, U_1: 27066, L_2: 22907, U_2: 27093
Test Epoch: 28, Accuracy: 61.530, Precision: 61.335, Recall: 61.530, F1: 60.646, L_1: 22829, U_1: 27171, L_2: 22846, U_2: 27154
Test Epoch: 29, Accuracy: 61.810, Precision: 62.225, Recall: 61.810, F1: 61.116, L_1: 23017, U_1: 26983, L_2: 23015, U_2: 26985
Test Epoch: 30, Accuracy: 62.400, Precision: 62.542, Recall: 62.400, F1: 61.559, L_1: 23033, U_1: 26967, L_2: 23048, U_2: 26952
Test Epoch: 31, Accuracy: 62.330, Precision: 62.802, Recall: 62.330, F1: 61.569, L_1: 22970, U_1: 27030, L_2: 22868, U_2: 27132
Test Epoch: 32, Accuracy: 62.750, Precision: 63.444, Recall: 62.750, F1: 62.176, L_1: 23069, U_1: 26931, L_2: 22972, U_2: 27028
Test Epoch: 33, Accuracy: 63.990, Precision: 64.293, Recall: 63.990, F1: 63.435, L_1: 23022, U_1: 26978, L_2: 22826, U_2: 27174
Test Epoch: 34, Accuracy: 63.860, Precision: 64.171, Recall: 63.860, F1: 63.221, L_1: 23020, U_1: 26980, L_2: 22737, U_2: 27263
Test Epoch: 35, Accuracy: 63.590, Precision: 64.194, Recall: 63.590, F1: 62.791, L_1: 22920, U_1: 27080, L_2: 22736, U_2: 27264
