Test Epoch: 0, Accuracy: 21.170, Precision: 22.455, Recall: 21.170, F1: 18.370, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 1, Accuracy: 30.180, Precision: 35.562, Recall: 30.180, F1: 28.325, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 2, Accuracy: 35.370, Precision: 38.492, Recall: 35.370, F1: 33.197, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 3, Accuracy: 43.980, Precision: 48.481, Recall: 43.980, F1: 42.170, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 4, Accuracy: 48.180, Precision: 50.661, Recall: 48.180, F1: 47.499, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 5, Accuracy: 50.210, Precision: 53.896, Recall: 50.210, F1: 49.789, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 6, Accuracy: 52.690, Precision: 56.196, Recall: 52.690, F1: 52.030, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 7, Accuracy: 55.570, Precision: 57.381, Recall: 55.570, F1: 54.559, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 8, Accuracy: 56.680, Precision: 59.597, Recall: 56.680, F1: 56.042, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 9, Accuracy: 59.440, Precision: 60.987, Recall: 59.440, F1: 58.903, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 10, Accuracy: 60.510, Precision: 62.910, Recall: 60.510, F1: 60.775, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 11, Accuracy: 61.010, Precision: 62.859, Recall: 61.010, F1: 60.572, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 12, Accuracy: 61.510, Precision: 63.921, Recall: 61.510, F1: 61.097, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 13, Accuracy: 62.390, Precision: 64.696, Recall: 62.390, F1: 62.433, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 14, Accuracy: 62.310, Precision: 64.969, Recall: 62.310, F1: 62.331, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 15, Accuracy: 63.770, Precision: 65.708, Recall: 63.770, F1: 63.663, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 16, Accuracy: 63.760, Precision: 66.099, Recall: 63.760, F1: 63.414, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 17, Accuracy: 63.510, Precision: 65.783, Recall: 63.510, F1: 63.426, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 18, Accuracy: 65.170, Precision: 66.985, Recall: 65.170, F1: 65.032, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 19, Accuracy: 63.750, Precision: 66.064, Recall: 63.750, F1: 63.633, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 20, Accuracy: 65.070, Precision: 66.771, Recall: 65.070, F1: 65.060, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 21, Accuracy: 64.820, Precision: 65.909, Recall: 64.820, F1: 64.561, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 22, Accuracy: 64.130, Precision: 66.217, Recall: 64.130, F1: 64.048, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 23, Accuracy: 63.590, Precision: 65.774, Recall: 63.590, F1: 63.485, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 24, Accuracy: 64.720, Precision: 66.313, Recall: 64.720, F1: 64.620, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 25, Accuracy: 63.930, Precision: 66.766, Recall: 63.930, F1: 64.020, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 26, Accuracy: 64.310, Precision: 66.129, Recall: 64.310, F1: 64.167, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 27, Accuracy: 64.040, Precision: 66.443, Recall: 64.040, F1: 64.169, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 28, Accuracy: 63.710, Precision: 66.222, Recall: 63.710, F1: 63.672, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 29, Accuracy: 63.170, Precision: 65.255, Recall: 63.170, F1: 62.888, L_1: 50000, U_1: 0, L_2: 50000, U_2: 0
Test Epoch: 30, Accuracy: 67.010, Precision: 67.134, Recall: 67.010, F1: 66.464, L_1: 35272, U_1: 14728, L_2: 34810, U_2: 15190
Test Epoch: 31, Accuracy: 68.080, Precision: 68.358, Recall: 68.080, F1: 67.482, L_1: 36386, U_1: 13614, L_2: 36244, U_2: 13756
Test Epoch: 32, Accuracy: 68.420, Precision: 68.602, Recall: 68.420, F1: 67.893, L_1: 36473, U_1: 13527, L_2: 36601, U_2: 13399
Test Epoch: 33, Accuracy: 69.070, Precision: 69.145, Recall: 69.070, F1: 68.554, L_1: 36575, U_1: 13425, L_2: 36467, U_2: 13533
Test Epoch: 34, Accuracy: 69.270, Precision: 69.571, Recall: 69.270, F1: 68.811, L_1: 36200, U_1: 13800, L_2: 35803, U_2: 14197
Test Epoch: 35, Accuracy: 69.750, Precision: 69.931, Recall: 69.750, F1: 69.324, L_1: 36517, U_1: 13483, L_2: 35216, U_2: 14784
Test Epoch: 36, Accuracy: 69.100, Precision: 69.529, Recall: 69.100, F1: 68.632, L_1: 35038, U_1: 14962, L_2: 35588, U_2: 14412
Test Epoch: 37, Accuracy: 69.850, Precision: 70.029, Recall: 69.850, F1: 69.392, L_1: 34908, U_1: 15092, L_2: 35054, U_2: 14946
Test Epoch: 38, Accuracy: 70.040, Precision: 70.360, Recall: 70.040, F1: 69.592, L_1: 35050, U_1: 14950, L_2: 35041, U_2: 14959
Test Epoch: 39, Accuracy: 69.530, Precision: 69.877, Recall: 69.530, F1: 69.023, L_1: 34966, U_1: 15034, L_2: 34471, U_2: 15529
Test Epoch: 40, Accuracy: 69.420, Precision: 69.522, Recall: 69.420, F1: 68.870, L_1: 34158, U_1: 15842, L_2: 34822, U_2: 15178
Test Epoch: 41, Accuracy: 70.300, Precision: 70.325, Recall: 70.300, F1: 69.812, L_1: 34617, U_1: 15383, L_2: 34333, U_2: 15667
Test Epoch: 42, Accuracy: 69.140, Precision: 69.587, Recall: 69.140, F1: 68.682, L_1: 34178, U_1: 15822, L_2: 34279, U_2: 15721
Test Epoch: 43, Accuracy: 69.890, Precision: 70.232, Recall: 69.890, F1: 69.450, L_1: 34166, U_1: 15834, L_2: 34076, U_2: 15924
Test Epoch: 44, Accuracy: 70.110, Precision: 70.293, Recall: 70.110, F1: 69.562, L_1: 33803, U_1: 16197, L_2: 34003, U_2: 15997
